date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
27/01/2012,56.82541796,56.97787392,56.37948428,56.45190086,74927374,447.28,0,448.48,443.77,444.34,1,10703900
30/01/2012,57.55339517,57.66646667,56.58529983,56.62595475,94835394,453.01,0,453.9,445.39,445.71,1,13547900
31/01/2012,57.99424699,58.21784906,57.56101797,57.88117548,97920997,456.48,0,458.24,453.07,455.59,1,13988700
01/02/2012,57.95740346,58.31313404,57.87609362,58.23944699,67511567,456.19,0,458.99,455.55,458.41,1,9644500
02/02/2012,57.82146357,58.08190916,57.6766304,57.92055994,46699146,455.12,0,457.17,453.98,455.9,1,6671300
03/02/2012,58.40079621,58.44145113,57.87736408,58.09842523,71649971,459.68,0,460,455.56,457.3,1,10235700
06/02/2012,58.94582627,59.07414337,58.21289424,58.23563559,62353262,463.97,0,464.98,458.201,458.38,1,8907600
07/02/2012,59.5632729,59.68015581,59.02345176,59.10844596,79055979,468.83,0,469.75,464.581,465.25,1,11293700
08/02/2012,60.56058897,60.5745641,59.67380347,59.77544078,101972601,476.68,0,476.79,469.7,470.5,1,14567500
09/02/2012,62.65558795,63.11041489,61.05352991,61.07893923,221053921,493.17,0,496.75,480.56,480.76,1,31579100
10/02/2012,62.68734961,63.22094546,62.0686325,62.37481489,157825657,493.42,0,497.62,488.55,490.96,1,22546500
13/02/2012,63.8536377,64.00990505,63.15361075,63.46360453,129304129,502.6,0,503.83,497.09,499.53,1,18472000
14/02/2012,64.7251776,64.73788226,63.77740972,64.11535376,115099715,509.46,0,509.56,502,504.66,1,16442800
15/02/2012,63.2272978,66.86337243,63.12820142,65.33500144,376530376,497.67,0,526.29,496.89,514.26,1,53790000
16/02/2012,63.80408951,64.14457449,61.82470297,62.44342007,236138236,502.21,0,504.89,486.63,491.5,1,33734000
17/02/2012,63.79265531,64.51046879,63.56143044,63.91843148,133951433,502.12,0,507.77,500.3,503.11,1,19135900
21/02/2012,65.40995895,65.40995895,64.04674858,64.39739728,151398951,514.85,0,514.85,504.12,506.88,1,21628400
22/02/2012,65.18000454,65.49126879,64.67562941,65.18508641,120825720,513.04,0,515.49,509.07,513.08,1,17260800
23/02/2012,65.60561076,65.7885071,64.73025946,65.37057449,142007042,516.39,0,517.8296,509.5,514.54,1,20286700
24/02/2012,66.37043149,66.43268434,65.89146569,66.02232372,103768103,522.41,0,522.9,518.64,519.67,1,14824000
27/02/2012,66.79603771,67.14414549,65.59163563,66.2306802,136895636,525.76,0,528.5,516.28,521.31,1,19556500
28/02/2012,68.02203772,68.02203772,66.80747191,67.07554031,150096950,535.41,0,535.41,525.85,527.96,1,21442400
