date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
06/04/2015,536.765,538.41,529.57,532.22,1320767,536.765,0,538.41,529.57,532.22,1,1320767
07/04/2015,537.02,542.69,536,538.08,1299298,537.02,0,542.69,536,538.08,1,1299298
08/04/2015,541.61,543.85,538.38,538.38,1175332,541.61,0,543.85,538.38,538.38,1,1175332
09/04/2015,540.78,541.95,535.49,541.03,1553586,540.78,0,541.95,535.49,541.03,1,1553586
10/04/2015,540.01,542.29,537.31,542.29,1405574,540.01,0,542.29,537.31,542.29,1,1405574
13/04/2015,539.17,544.06,537.31,538.41,1640809,539.17,0,544.06,537.31,538.41,1,1640809
14/04/2015,530.39,537.5699,528.0925,536.25,2597043,530.39,0,537.5699,528.0925,536.25,1,2597043
15/04/2015,532.53,534.73,523.22,528.7,2312512,532.53,0,534.73,523.22,528.7,1,2312512
16/04/2015,533.8,535.59,529.61,529.9,1296304,533.8,0,535.59,529.61,529.9,1,1296304
17/04/2015,524.05,529.84,521.01,528.66,2145955,524.05,0,529.84,521.01,528.66,1,2145955
20/04/2015,535.38,536.09,524.5,525.6,1675487,535.38,0,536.09,524.5,525.6,1,1675487
21/04/2015,533.97,539.39,533.675,537.51,1839668,533.97,0,539.39,533.675,537.51,1,1839668
22/04/2015,539.365,541.08,531.75,534.4,1589248,539.365,0,541.08,531.75,534.4,1,1589248
23/04/2015,547,550.96,540.23,541,4173376,547,0,550.96,540.23,541,1,4173376
24/04/2015,565.06,571.14,557.25,566.1,4919031,565.06,0,571.14,557.25,566.1,1,4919031
27/04/2015,555.37,565.95,553.2001,563.39,2398039,555.37,0,565.95,553.2001,563.39,1,2398039
28/04/2015,553.68,556.02,550.366,554.64,1490983,553.68,0,556.02,550.366,554.64,1,1490983
29/04/2015,549.08,553.68,546.905,550.47,1698761,549.08,0,553.68,546.905,550.47,1,1698761
30/04/2015,537.34,548.59,535.05,547.87,2082214,537.34,0,548.59,535.05,547.87,1,2082214
01/05/2015,537.9,539.54,532.1,538.43,1768181,537.9,0,539.54,532.1,538.43,1,1768181
04/05/2015,540.78,544.07,535.06,538.53,1307960,540.78,0,544.07,535.06,538.53,1,1307960
05/05/2015,530.8,539.74,530.3906,538.21,1383068,530.8,0,539.74,530.3906,538.21,1,1383068
06/05/2015,524.22,532.38,521.085,531.24,1566987,524.22,0,532.38,521.085,531.24,1,1566987
07/05/2015,530.7,533.46,521.75,523.99,1546278,530.7,0,533.46,521.75,523.99,1,1546278
08/05/2015,538.22,541.15,536,536.65,1527615,538.22,0,541.15,536,536.65,1,1527615
11/05/2015,535.7,541.98,535.4,538.37,905285,535.7,0,541.98,535.4,538.37,1,905285
12/05/2015,529.04,533.2089,525.26,531.6,1634174,529.04,0,533.2089,525.26,531.6,1,1634174
13/05/2015,529.62,534.3215,528.655,530.56,1253063,529.62,0,534.3215,528.655,530.56,1,1253063
14/05/2015,538.4,539,532.41,533.77,1403935,538.4,0,539,532.41,533.77,1,1403935
15/05/2015,533.85,539.2743,530.38,539.18,1971343,533.85,0,539.2743,530.38,539.18,1,1971343
18/05/2015,532.3,534.82,528.85,532.01,2003421,532.3,0,534.82,528.85,532.01,1,2003421
19/05/2015,537.36,540.66,533.04,533.98,1966947,537.36,0,540.66,533.04,533.98,1,1966947
20/05/2015,539.27,542.92,532.972,538.49,1430826,539.27,0,542.92,532.972,538.49,1,1430826
21/05/2015,542.51,543.8399,535.98,537.95,1462695,542.51,0,543.8399,535.98,537.95,1,1462695
22/05/2015,540.11,544.19,539.51,540.15,1176214,540.11,0,544.19,539.51,540.15,1,1176214
26/05/2015,532.32,539,529.88,538.12,2406512,532.32,0,539,529.88,538.12,1,2406512
27/05/2015,539.79,540.55,531.71,532.8,1525019,539.79,0,540.55,531.71,532.8,1,1525019
28/05/2015,539.78,540.61,536.25,538.01,1029849,539.78,0,540.61,536.25,538.01,1,1029849
29/05/2015,532.11,538.63,531.45,537.37,2597407,532.11,0,538.63,531.45,537.37,1,2597407
01/06/2015,533.99,536.79,529.76,536.79,1904332,533.99,0,536.79,529.76,536.79,1,1904332
02/06/2015,539.18,543,531.33,532.93,1938989,539.18,0,543,531.33,532.93,1,1938989
03/06/2015,540.31,543.5,537.11,539.91,1717036,540.31,0,543.5,537.11,539.91,1,1717036
04/06/2015,536.7,540.59,534.32,537.76,1348337,536.7,0,540.59,534.32,537.76,1,1348337
05/06/2015,533.33,537.2,532.52,536.35,1388220,533.33,0,537.2,532.52,536.35,1,1388220
08/06/2015,526.83,534.12,526.24,533.31,1524139,526.83,0,534.12,526.24,533.31,1,1524139
09/06/2015,526.69,529.2,523.01,527.56,1455266,526.69,0,529.2,523.01,527.56,1,1455266
10/06/2015,536.69,538.36,529.35,529.36,1814958,536.69,0,538.36,529.35,529.36,1,1814958
11/06/2015,534.61,538.98,533.02,538.425,1217536,534.61,0,538.98,533.02,538.425,1,1217536
12/06/2015,532.33,533.12,530.16,531.6,955789,532.33,0,533.12,530.16,531.6,1,955789
15/06/2015,527.2,528.3,524,528,1632702,527.2,0,528.3,524,528,1,1632702
16/06/2015,528.15,529.6399,525.56,528.4,1071814,528.15,0,529.6399,525.56,528.4,1,1071814
17/06/2015,529.26,530.98,525.1,529.37,1294216,529.26,0,530.98,525.1,529.37,1,1294216
18/06/2015,536.73,538.15,530.79,531,1833109,536.73,0,538.15,530.79,531,1,1833109
19/06/2015,536.69,538.25,533.01,537.21,1893497,536.69,0,538.25,533.01,537.21,1,1893497
22/06/2015,538.19,543.74,537.53,539.59,1250282,538.19,0,543.74,537.53,539.59,1,1250282
23/06/2015,540.48,541.499,535.25,539.64,1197450,540.48,0,541.499,535.25,539.64,1,1197450
24/06/2015,537.84,540,535.66,540,1286608,537.84,0,540,535.66,540,1,1286608
25/06/2015,535.23,540.9,535.23,538.87,1335697,535.23,0,540.9,535.23,538.87,1,1335697
26/06/2015,531.69,537.76,531.35,537.26,2109130,531.69,0,537.76,531.35,537.26,1,2109130
29/06/2015,521.52,528.61,520.54,525.01,1937821,521.52,0,528.61,520.54,525.01,1,1937821
30/06/2015,520.51,526.25,520.5,526.02,2235595,520.51,0,526.25,520.5,526.02,1,2235595
01/07/2015,521.84,525.69,518.2305,524.73,1961354,521.84,0,525.69,518.2305,524.73,1,1961354
02/07/2015,523.4,524.65,521.08,521.08,1235903,523.4,0,524.65,521.08,521.08,1,1235903
06/07/2015,522.86,525.25,519,519.5,1280525,522.86,0,525.25,519,519.5,1,1280525
07/07/2015,525.02,526.18,515.18,523.13,1597229,525.02,0,526.18,515.18,523.13,1,1597229
08/07/2015,516.83,522.734,516.11,521.05,1296699,516.83,0,522.734,516.11,521.05,1,1296699
09/07/2015,520.68,523.77,520.35,523.12,1842347,520.68,0,523.77,520.35,523.12,1,1842347
10/07/2015,530.13,532.56,525.55,526.29,1956682,530.13,0,532.56,525.55,526.29,1,1956682
13/07/2015,546.55,547.11,532.4001,532.88,2206475,546.55,0,547.11,532.4001,532.88,1,2206475
14/07/2015,561.1,565.8487,546.71,546.76,3244066,561.1,0,565.8487,546.71,546.76,1,3244066
15/07/2015,560.22,566.5029,556.79,560.13,1784554,560.22,0,566.5029,556.79,560.13,1,1784554
16/07/2015,579.85,580.68,565,565.12,4768318,579.85,0,580.68,565,565.12,1,4768318
17/07/2015,672.93,674.468,645,649,11164943,672.93,0,674.468,645,649,1,11164943
20/07/2015,663.02,668.88,653.01,659.24,5860872,663.02,0,668.88,653.01,659.24,1,5860872
21/07/2015,662.3,673,654.3,655.21,3377196,662.3,0,673,654.3,655.21,1,3377196
22/07/2015,662.1,678.64,659,660.89,3929309,662.1,0,678.64,659,660.89,1,3929309
23/07/2015,644.28,663.63,641,661.27,3029109,644.28,0,663.63,641,661.27,1,3029109
24/07/2015,623.56,648.17,622.52,647,3625747,623.56,0,648.17,622.52,647,1,3625747
27/07/2015,627.26,634.3,620.5,621,2675381,627.26,0,634.3,620.5,621,1,2675381
